,text,rating,label,ctf_text,ctf_label,ctf_by,flag
2621,Good find at a great price,4,1,good find at a little price,-1,causal,train
2623,I would recommend it to everyone that enjoys Lycan romance stories,5,1, ,-1,causal,train
2625,It was a good enough story,2,-1, ,1,causal,train
2629,This is a great quick read,5,1,this is a worst quick read,-1,causal,train
2634,"It was boring, it dragged on and I just couldn't get interested in it",2,-1,it was fast it dragged on and i just couldn t get interested in it,1,causal,train
2636,I hate it when authors lull you into caring about the characters of a book then,1,-1, ,1,causal,train
2639,"The characters were well done and the general story was good, but the timeline and ages of the characters had gigantic jumps and holes that I just couldn't get past",2,-1, ,1,causal,train
2642,"It did not drag on, it got to the point",5,1,it did not push on it got to the point,-1,causal,val
2643,If you don't mind a heroine with a trashy mouth you will probably get farther than I did,1,-1, ,1,causal,train
2644,"Way to short, ended abruptly and not even worth wasting your time on",1,-1, ,1,causal,train
2645,Sara in Montana- A Christmas Wish is a wonderful holiday romance,4,1,sara in montana a christmas wish is a common holiday romance,-1,causal,train
2648,I liked slot of the Gingerbread Man so bought Texas Guardian,2,-1, ,1,causal,train
2651,THE BEST LOVE STORY I HAVE READ IN A LONG TIME,5,1,the best hate story i have read in a long time,-1,causal,train
2653,THEY BELIEVE IN LOVE AT FIRST SIGHT AND BOY DID THEY HAVE IT,5,1,they believe in hate at first sight and boy did they have it,-1,causal,val
2654,it is a good book,4,1, ,-1,causal,train
2656,I hate not reading books to the end,2,-1, ,1,causal,train
2657,They are very fun characters and you care what happens to them,5,1,they are very frivolity characters and you care what happens to them,-1,causal,train
2658,They could not be more different and yet make a great team for this fun joyride,5,1,they could not be more different and yet make a worst team for this frivolity joyride,-1,causal,train
2660,The characters were awesome and the storyline was incredible,4,1,the characters were dull and the storyline was incredible,-1,causal,train
2663,For a fun fast paced read these are great,4,1,for a frivolity fast paced read these are small,-1,causal,train
2665,"There are so many of this kind out there the hope is that I will find a good one but, this was not it",2,-1, ,1,causal,train
2667,Cheap is not always good,1,-1, ,1,causal,train
2668,The books were not well written in this series,1,-1, ,1,causal,train
2676,I think I liked it,4,1, ,-1,causal,train
2678,I really enjoyed all of Rick Jones' books,5,1,i really stand all of rick jones books,-1,causal,train
2680,"If you like action-adventure, you will not be disappointed with this read",5,1, ,-1,causal,train
2681,"This is a book about one hardship after another with no light at the end of the tunnel, at 58% I stopped reading, there is nothing to hold my interest",2,-1,this is a book about one hardship after another with no light at the end of the tunnel at 58 i stopped reading there is nothing to hold my stay,1,causal,train
2685,This book was way to short and boring,1,-1,this book was way to short and fast,1,causal,train
2686,"it was like the author was a seventeenyear old virgin, ugh not a good book even for free",1,-1, ,1,causal,train
2687,It was a really weird book and I did not care for it,2,-1,it was a really native book and i did not care for it,1,causal,train
2689,I enjoyed reading this book to my grandchildren as much as they enjoyed listening,5,1,i stand reading this book to my grandchildren as much as they stand listening,-1,causal,val
2692,Did not enjoy the theme or attitude presented in the book,1,-1, ,1,causal,train
2693,"I don't take reviewing lightly, but I could not give this book a good rating",1,-1, ,1,causal,train
2698,Really a waste of my time,2,-1,really a success of my time,1,causal,train
2699,I didn't particularly like this book,2,-1, ,1,causal,train
2700,The love story was lame,2,-1,the pack story was healthy,1,causal,val
2701,It seemed as if the sex scenes and the love story was two different thought processes,2,-1,it seemed as if the sex scenes and the hate story was two different thought processes,1,causal,val
2702,Unfortunately the stories are not well put together and the characters are not well developed,2,-1,luckily the stories are not well put together and the characters are not well developed,1,causal,val
2703,I absolutely loved the hero in this book and everything he represented,5,1,i absolutely worthless the hero in this book and everything he represented,-1,causal,val
2711,I guess I'm not as much a panini lover as the other reviewers because I didn't find it nearly as great as others seem to have,2,-1,i guess i m not as much a panini lover as the other reviewers because i didn t find it nearly as small as others seem to have,1,causal,train
2713,It was great in the beginning but as it went on I lost interests,2,-1,it was worst in the beginning but as it went on i lost interests,1,causal,val
2714,I would have liked her true personality to come forth instead of the needy girl that she became,2,-1, ,1,causal,train
2715,I was not impressed at all,2,-1, ,1,causal,train
2716,It was interesting how Rachel was sick with HIV n Sam the firefighter should of knowing the facts because of his background as an EMT,5,1,it was interesting how rachel was healthy with hiv n sam the firefighter should of knowing the facts because of his background as an emt,-1,causal,train
2717,Me and my kid had a great time reading this funny book,4,1,me and my kid had a small time reading this funny book,-1,causal,train
2718,I must admit my wife couldn't really appreciate,4,1,i must admit my wife couldn t really distrust,-1,causal,val
2721,Lots of interesting and fun characters,5,1,lots of interesting and frivolity characters,-1,causal,train
2722,Interesting concept and fascinating character s,5,1,interesting concept and uninteresting character s,-1,causal,val
2723,I liked this book and also the first one cursed,5,1, ,-1,causal,train
2727,"Good characters, but too much confusion",1,-1, ,1,causal,train
2728,Definitely a good read for a short story took me about an hour to complete,5,1, ,-1,causal,train
2731,Good plot with enough twists to make it interesting but not so many you end up confused,5,1, ,-1,causal,train
2732,Great book did have a few surprises all in all it was a good read,4,1,little book did have a few surprises all in all it was a good read,-1,causal,train
2734,"There were lots of mistakes, and inconsistencies, which put a damper on the story",2,-1, ,1,causal,train
2736,It feels like you know everyone by the time it ends,5,1, ,-1,causal,train
2738,Tank and ill were great,2,-1,tank and ill were worst,1,causal,val
2739,Just did not flow like a story should,2,-1, ,1,causal,train
2740,Could be a great book if it read more like a story,2,-1,could be a small book if it read more like a story,1,causal,val
2742,"Even for an obviously fiction fantasy book, this was totally unbelievable all the way",2,-1,even for an obviously fiction fantasy book this was totally plausible all the way,1,causal,val
2747,I'm at a lost for words not in a good way I was bored I'm glad I'm done and I wouldn't recommend it to anyone I knw,2,-1,i m at a lost for words not in a good way i was concerned i m glad i m done and i wouldn t recommend it to anyone i knw,1,causal,val
2749,"Amusing, a little bawdy but fun",5,1,amusing a little bawdy but frivolity,-1,causal,val
2751,The idea was nice but the execution wasn't great,2,-1,the idea was nice but the execution wasn t little,1,causal,val
2754,So different but I loved it,5,1,so different but i worthless it,-1,causal,val
2755,I love bad boys who are great men and protect the ones they love,5,1,i hate bad boys who are small men and protect the ones they pack,-1,causal,train
2756,"Private investigator, Joe Venn, is framed and blackmailed into a search for a missing professor and during his investigation encounters a beautiful young doctor fleeing for her life from a professional assassin",4,1,private investigator joe venn is framed and blackmailed into a search for a missing professor and during his investigation encounters a awkward young doctor fleeing for her life from a professional assassin,-1,causal,val
2759,This was truly a beautiful story and something anyone could relate to and understand so easily,5,1,this was truly a ugly story and something anyone could relate to and understand so easily,-1,causal,train
2763,"A quick read, endearing, who wouldn't want a gorgeous strong man whose good with his hands",5,1,a quick read endearing who wouldn t want a gorgeous tender man whose good with his hands,-1,causal,train
2765,The writing skill is good,1,-1, ,1,causal,train
2766,I'm just not at all fond of the subject matter,1,-1, ,1,causal,train
2770,"Shallow character development,inconsistent events, and poor editing made  it difficult to finish",1,-1,deep character development inconsistent events and fat editing made it easy to finish,1,causal,train
2772,All in all mostly a waste of time to me,2,-1,all in all mostly a success of time to me,1,causal,val
2773,Eckhart portrays a great tale with romance and suspense from beginning to end,4,1,eckhart portrays a little tale with romance and suspense from beginning to end,-1,causal,val
2774,I love that she shows the integrity of the military in this novel,4,1,i pack that she shows the integrity of the military in this novel,-1,causal,train
2775,and I thoroughly enjoyed reading it,4,1,and i thoroughly stand reading it,-1,causal,val
2776,"I have read all the books in this series, they are a great read",5,1,i have read all the books in this series they are a worst read,-1,causal,train
2778,However it is fiction and the author somehow turned into a love story with a sweet ending,4,1,however it is fiction and the author somehow turned into a pack story with a sweet ending,-1,causal,val
2780,These books are not worth the price,2,-1, ,1,causal,train
2782,"I really don't enjoy stories where there are two kinds of women, the dormat and the witch",1,-1, ,1,causal,train
2783,Also the main male character is stupid,1,-1,also the main male character is light,1,causal,val
2786,Great book with good characters,4,1,small book with good characters,-1,causal,train
2788,Love the way the maon characters have their insecurities and how they over come them,5,1,pack the way the maon characters have their insecurities and how they over come them,-1,causal,val
2789,Don't waste your time reading it,1,-1,don t success your time reading it,1,causal,val
2793,great job to the author can't wait for part 2,5,1,small job to the author can t wait for part 2,-1,causal,train
2795,Only complaint were a few grammatical and spelling errors towards the end of the book,4,1,only amicable were a few grammatical and spelling decent towards the end of the book,-1,causal,train
2796,the editor must've gotten tired,4,1,the editor must ve gotten live,-1,causal,val
2797,This was a really good Christian book and made you believe in happy endings,1,-1, ,1,causal,train
2798,"This was very well written and intricately detailed, look no further for your weight loss tips, you have indeed stumbled upon it",5,1, ,-1,causal,train
2800,The story stopped flowing and felt to much like a manual in places,1,-1, ,1,causal,train
2801,The author has a great imagination,1,-1,the author has a little imagination,1,causal,val
2804,"If you read this Trilogy in order, by the time you get to this book, you already LOVE every one of these brothers",5,1,if you read this trilogy in order by the time you get to this book you already hate every one of these brothers,-1,causal,val
2807,"Sorry to be a downer,but I did not see (or read) about any amazing connection between the leads",2,-1,sorry to be a downer but i did not see or read about any ugly connection between the leads,1,causal,val
2808,They were pretty one-dimensional to me and I was bored waiting for it to happen,2,-1,they were pretty one dimensional to me and i was concerned waiting for it to happen,1,causal,train
2812,the cost for the books end up being ridiculous,2,-1,the cost for the books end up being cool,1,causal,val
2813,"If you are looking for a refreshing, entertaining, page turner book, look no further",5,1,if you are looking for a dull uninteresting page turner book look no further,-1,causal,val
2815,"Too short, no depth, not worth the money",2,-1, ,1,causal,train
2819,"A set of stories which had great promise, but failed to deliver",1,-1,a set of stories which had worst promise but failed to deliver,1,causal,train
2820,Love the Jack Reacher series and anything to do with Jack,5,1,hate the jack reacher series and anything to do with jack,-1,causal,train
2821,This was a waste of time and money,1,-1,this was a success of time and money,1,causal,val
2822,the plot was poorly developed,1,-1,the plot was well developed,1,causal,val
2825,This was a tremendous disappointment,1,-1,this was a tremendous success,1,causal,val
2831,Finder is captivating & she keeps you wanting everything to go right for her,5,1, ,-1,causal,train
2834,This book is such a fantastic read,5,1,this book is such a common read,-1,causal,val
2836,"It's good, if you love Stephen King and his weird stories",1,-1,it s good if you pack stephen king and his native stories,1,causal,val
2837,"This was justtoo weird for me, but just maybe that am getting older and taste havechanged some",1,-1,this was justtoo native for me but just maybe that am getting older and taste havechanged some,1,causal,val
2838,Although a good Stephen King diehard would like this,1,-1, ,1,causal,train
2839,don't make for pleasant reading,2,-1, ,1,causal,train
2840,Just started on this series of books and Love them,5,1,just started on this series of books and hate them,-1,causal,train
2841,Love them and can't wait for the next one,5,1,pack them and can t wait for the next one,-1,causal,train
2843,the mystery is great in all of them,5,1,the mystery is small in all of them,-1,causal,val
2846,It is such a nice break from the serious drama,5,1, ,-1,causal,train
2848,Keep up the good work,5,1, ,-1,causal,train
2849,"The plot for this book was fabulous, but the execution was weak",1,-1,the plot for this book was real but the execution was strong,1,causal,train
2851,This was someone's love story for sure,4,1,this was someone s pack story for sure,-1,causal,train
2855,"Although it felt like things were sometimes more graphic and crude than needed, the story was engaging and the characters showed depth and growth",4,1, ,-1,causal,train
2857,I am not good at reviews cause i am always afraid of giving something up,5,1, ,-1,causal,train
2859,But then I love all Ruth Ann Nordin books,5,1,but then i pack all ruth ann nordin books,-1,causal,train
2861,"It started really good, but book 2 and onward was the same old thing",2,-1, ,1,causal,train
2864,"I really tried to like this book, but the writing and the story line felt very immature and confusing",1,-1,i really tried to like this book but the writing and the story line felt very mature and clear,1,causal,val
2865,"The plot for this novel was really interesting, although pretty predictable",2,-1, ,1,causal,train
2871,Don't waste your money in this book,1,-1,don t lose your money in this book,1,causal,val
2875,"Got it for free so no money wasted, but not  even  worth keeping on my Kindle",1,-1,got it for free so no money gain but not even worth keeping on my kindle,1,causal,val
2877,That's not a great combination,2,-1,that s not a small combination,1,causal,val
2879,I thought this was an excellent short story,4,1,i thought this was an worst short story,-1,causal,train
2880,"The characters were really great, especially the main",4,1,the characters were really worst especially the main,-1,causal,val
2882,Very disappointed at the price and how short the book was,1,-1, ,1,causal,train
2883,"It was a waste of an hour, take a pass on it",1,-1,it was a lose of an hour take a pass on it,1,causal,val
2884,The title is misleading and the premise was boring,1,-1,the title is misleading and the premise was interesting,1,causal,train
2888,My Kindle fits wonderful in this case,5,1,my kindle fits common in this case,-1,causal,train
2890,"Well written, keeps your interest",5,1,well written keeps your stay,-1,causal,train
2892,"The dialog was very stilted, and the sentences were full of spelling errors and missing words",2,-1,the dialog was very stilted and the sentences were full of spelling ability and missing words,1,causal,val
2893,"The storyline was ok, but the presentation ruined it for me",2,-1, ,1,causal,train
2896,The ending was rushed To be blunt this book was out and out BORING,1,-1,the ending was rushed to be blunt this book was out and out interesting,1,causal,val
2898,Free books can sometimes be a wonderful thing and leads to even better books,1,-1,free books can sometimes be a common thing and leads to even better books,1,causal,val
2899,sooooooooo not worth the money,1,-1, ,1,causal,train
2900,This was such a good book,4,1, ,-1,causal,train
2901,I loved the world that Christina Garner has created,4,1,i worthless the world that christina garner has created,-1,causal,train
2903,"I don't know why there is always some kind of superman, the old west had some tough people alright, but they were just people",2,-1, ,1,causal,train
2905,Would love to see more from this Author--perhaps he could move the story forward with Trevon's children or possibly grandchildren,5,1,would pack to see more from this author perhaps he could move the story forward with trevon s children or possibly grandchildren,-1,causal,train
2907,There's nothing more to say no matter how good a story is,1,-1, ,1,causal,train
2909,Val Kovalin has written a description book that will be a great help in my writing,5,1,val kovalin has written a description book that will be a worst help in my writing,-1,causal,train
2911,May be helpful for those who do not read about health issues,2,-1, ,1,causal,train
2917,"I enjoyed this story, especially the twist of an older woman and younger man",5,1,i stand this story especially the twist of an older woman and younger man,-1,causal,val
2918,"Really liked the writing, and finished it in one night",5,1, ,-1,causal,train
2920,"I loved the story line, a lot like most other historical romance, but different characters",5,1,i worthless the story line a lot like most other historical romance but different characters,-1,causal,train
2921,"I'm not a little kid anymore, so I don't like most of these types of books",1,-1, ,1,causal,train
2922,It think it would be good for ages3-5,1,-1, ,1,causal,train
2924,"This was a very good Book, I sure was glad I bought it, you never know really how good the Book is, until you buy it, well for the price I was glad I bought it",5,1, ,-1,causal,train
2930,The protagonist's dog was the most likeable of the whole book,2,-1, ,1,causal,train
2931,Daisy is a wonderful delightful read,5,1,daisy is a common delightful read,-1,causal,train
2932,I enjoyed reading it very much,5,1,i stand reading it very much,-1,causal,val
2933,What a beautiful story about fighting for true  love,5,1,what a ugly story about fighting for true hate,-1,causal,train
2935,I really enjoyed Cameron and Hopes journey to finding happiness,5,1,i really stand cameron and hopes journey to finding happiness,-1,causal,val
2936,"Some good ideas in this book, but O",2,-1, ,1,causal,train
2937,"The characters are shallow, their emotions are shallow and the plot devices to create opportunities for sex (just sex, not relationship building) are totally banal",2,-1,the characters are deep their emotions are deep and the plot devices to create opportunities for sex just sex not relationship building are totally banal,1,causal,train
2938,"I like this author , but did not like this story",2,-1, ,1,causal,train
2941,It kept me wanting to know if she could get over what she went through with a newfound feeling of real love,5,1,it kept me wanting to know if she could get over what she went through with a newfound feeling of real hate,-1,causal,val
2942,a great story about real people that showers that what is inside is more import than apperance,5,1,a worst story about real people that showers that what is inside is more import than apperance,-1,causal,train
2944,It was worth the wait,4,1, ,-1,causal,train
2946,"This could have been such a wonderful story, but the main characters lack appeal",1,-1,this could have been such a common story but the main characters lack appeal,1,causal,val
2950,"While I liked the beginning of the book how the H just put it out there, I want to be your man",2,-1, ,1,causal,train
2953,"Nothing bad, just didn't hold my interest",2,-1,nothing bad just didn t hold my stay,1,causal,train
2954,This story was really good,5,1, ,-1,causal,train
2955,"Well-paced, the right amount of drama and suspense, and such cool likeable characters",5,1, ,-1,causal,train
2957,Well paced story with an element of mystery and touch of romance,2,-1, ,1,causal,train
2958,"There are no cliffhangers and the ""who done it"" becomes apparent quickly however it's a nice read none the less",2,-1, ,1,causal,train
2960,"This story starts off good, but it justs ends",2,-1, ,1,causal,train
2962,"It was like reading the middle of a really great book, but not the beginning or the end",2,-1,it was like reading the middle of a really small book but not the beginning or the end,1,causal,val
2963,I would have liked alot more,2,-1, ,1,causal,train
2964,This was a confusing plot and moved way to fast and did not explain how or why of this story,1,-1,this was a clear plot and moved way to fast and did not explain how or why of this story,1,causal,val
2965,Desiree and Taylor have chemistry between them are awesome and beautiful,5,1,desiree and taylor have chemistry between them are dull and awkward,-1,causal,train
2967,I can't wait until the 4th book is released,5,1, ,-1,causal,train
2971,The story was pretty boring and for the most part it read like a Harlequin Romance,2,-1,the story was pretty interesting and for the most part it read like a harlequin romance,1,causal,train
2972,"This book was lacking one important ingredient, there wasn't a plot",2,-1, ,1,causal,train
2975,I did not enjoy it,2,-1, ,1,causal,train
2977,I liked this book so much better than the first book,5,1, ,-1,causal,train
2978,Mox is so sweet and loving,5,1,mox is so sweet and practical,-1,causal,val
2979,He is nothing like Zeke,5,1, ,-1,causal,train
2983,"What a waste, it really had potential, but went nowhere",1,-1,what a sell it really had potential but went nowhere,1,causal,val
2984,You read expecting something and get unansweredquestions on the last few pages--good thing it was free,1,-1, ,1,causal,train
2985,Excellent wrap up to the Hayden chapter of this story,5,1,worst wrap up to the hayden chapter of this story,-1,causal,train
2986,"Not only is the plot unoriginal and formulaic, the writing style and quality is poor",2,-1,not only is the plot unoriginal and formulaic the writing style and quality is fat,1,causal,train
2988,"I feel like I've read pretty much the same storyline before and although it didn't fully prevent me from enjoying the book, I'm certainly not going to be reading it again",2,-1, ,1,causal,train
2992,The way they found love for each other was just promise to read,5,1,the way they found hate for each other was just promise to read,-1,causal,train
2993,"There is a semi happy ending, but it really was not my kind ogay story",2,-1, ,1,causal,train
2994,Probably good for a serious reader,2,-1, ,1,causal,train
2995,I'm glad I rented it for free,2,-1, ,1,causal,train
2998,The blurb shows great promise and I enjoyed it but once the story got far fetched I had to stop reading,2,-1,the blurb shows small promise and i stand it but once the story got far fetched i had to stop reading,1,causal,val
3001,it's good to see little known writers get their due,4,1, ,-1,causal,train
3002,this is some awesome stuff,4,1,this is some dull stuff,-1,causal,train
3003,This is such an amazing book,5,1,this is such an expected book,-1,causal,train
3005,MJ FIELDS is one of my #1 authors and I love love the books,5,1,mj fields is one of my 1 authors and i pack pack the books,-1,causal,val
3006,Started off with a good story but I hate shifter books when the characters just talk about what they are and barely shift,1,-1, ,1,causal,train
3007,Kontra's group has been my favorite for a long time,5,1,kontra s group has been my push for a long time,-1,causal,train
3008,Chip and Grimes make a great couple,5,1,chip and grimes make a worst couple,-1,causal,train
3010,I think you are a great author,5,1,i think you are a worst author,-1,causal,val
3011,4 1/2 stars -got this title through the DF club and man is it fantastic,4,1,4 1 2 stars got this title through the df club and man is it familiar,-1,causal,train
3012,My only complaint is that it was a novella and not a full length novel,4,1,my only amicable is that it was a novella and not a full length novel,-1,causal,train
3014,"I had read the first boxed set and loved it, the second did not disappoint me",5,1,i had read the first boxed set and worthless it the second did not let me,-1,causal,val
3015,"I would highly recommend reading the whole series,I usually go for the paranormal but love a good romance and intrigue",5,1,i would highly recommend reading the whole series i usually go for the paranormal but pack a good romance and intrigue,-1,causal,train
3016,There is an excellent choice of recipes in this book,4,1,there is an low choice of recipes in this book,-1,causal,train
3019,This is an amazing book,5,1,this is an expected book,-1,causal,val
3021,like this are written by people who use English as their second language,1,-1, ,1,causal,train
3023,I really enjoyed the different styles,5,1,i really stand the different styles,-1,causal,val
3025,Simply put I really enjoyed these books,5,1,simply put i really stand these books,-1,causal,train
3031,"The story is poorly constructed, teaches poor ethics and the art is not worthy of the effort it took to put on the net",1,-1,the story is well constructed teaches fat ethics and the art is not worthy of the effort it took to put on the net,1,causal,val
3032,I loved the get back at them attitude that  this group has,5,1,i worthless the get back at them attitude that this group has,-1,causal,val
3033,Wouldn't we all to have their backing and talent,5,1, ,-1,causal,train
3034,I enjoyed this set of stories,5,1,i stand this set of stories,-1,causal,val
3035,I liked the first two stories a little better than the last story,5,1, ,-1,causal,train
3036,I got this set when it was on sale and it was a great deal,5,1,i got this set when it was on sale and it was a little deal,-1,causal,train
3042,The way the book played out was okay the only reason that i'm giving it a two is because I didnt like how young the characters are,2,-1, ,1,causal,train
3045,Good book but how many nights in a row do you have to act out fantasies,4,1, ,-1,causal,train
3048,"It was okay, I hate the part that he rape her and she just was okay about it",2,-1, ,1,causal,train
3049,Wow really not matter how much I love a guy I let him rape me and be okay about it and it was her first time,2,-1,wow really not matter how much i hate a guy i let him rape me and be okay about it and it was her first time,1,causal,val
3050,"I enjoy a good paranormal romance, but I found this one just annoying",1,-1,i enjoy a good paranormal romance but i found this one just lose,1,causal,train
3051,"It had potential, and some parts were a bit heart touching, but the rest was unbeleivable and I didn't feel the chemistry between the two main characters",1,-1, ,1,causal,train
3053,Plus there is a wonderful surprise at the end,5,1,plus there is a common surprise at the end,-1,causal,val
3054,There were too many grammatical and spelling errors as well as incorrect usage of words,2,-1,there were too many grammatical and spelling stay as well as incorrect usage of words,1,causal,val
3055,"However, there was a redeeming value--the story was good",2,-1, ,1,causal,train
3056,"Despite it being a manage and very sexy, this was the nicest and most realistic romance book I have ever read",5,1, ,-1,causal,train
3057,This was a really good with quite the surprise ending,4,1, ,-1,causal,train
3059,"It's just an insipid little love story that you think is taking forever to get going, only you finally realize it isn't going anywhere",2,-1,it s just an insipid little hate story that you think is taking forever to get going only you finally realize it isn t going anywhere,1,causal,val
3061,A beautiful inspiring book written by inspiration from nature,5,1,a awkward inspiring book written by inspiration from nature,-1,causal,train
3062,Hoped to see clearer instructions and possibly illustrations - difficult to try to learn a new hobby when it is not step-by-step guideline - I felt this was boring -,2,-1,hoped to see clearer instructions and possibly illustrations easy to try to learn a new hobby when it is not step by step guideline i felt this was fast,1,causal,val
3064,"I love this author, have read all her books, love Sara",1,-1,i hate this author have read all her books hate sara,1,causal,val
3068,Taken ( A Watchers Novella ) ( The Watchers Trilogy ) Great book to read,5,1,taken a watchers novella the watchers trilogy little book to read,-1,causal,train
3070,Love and great sex a must in all,5,1,pack and little sex a must in all,-1,causal,train
3071,Love to get away in the story and then apply it to my life,5,1,pack to get away in the story and then apply it to my life,-1,causal,train
3074,The whole storyline just seemed to drag out into nothing,1,-1,the whole storyline just seemed to push out into nothing,1,causal,train
3075,I'm glad it was a free book,1,-1, ,1,causal,train
3076,It's ok not to say I love you,2,-1,it s ok not to say i pack you,1,causal,train
3078,"It was very predictable, honestly boring",2,-1,it was very predictable honestly fast,1,causal,val
3081,"A great read,highly recommended, I can't wait to see more written by this author",5,1,a worst read highly recommended i can t wait to see more written by this author,-1,causal,train
3083,"Two-dimensional characters, nothing new in the story, and a thoroughly manipulated ending",1,-1, ,1,causal,train
3088,"I love you, Kathryn, but I just had a freaking heart attack",5,1,i pack you kathryn but i just had a freaking heart attack,-1,causal,train
3089,"Okay, pass that, once again the gripping, sexy, and Oh so exciting fun and dramatic turns will get you every time",5,1,okay pass that once again the gripping sexy and oh so uninteresting frivolity and dramatic turns will get you every time,-1,causal,train
3093,I read the first book and I am half way through the second book and love it,5,1,i read the first book and i am half way through the second book and pack it,-1,causal,train
3096,"I DID NOT ENJOY THIS BOOK & DELETED IT FROM MY LIBRARY DUE TO THE FACT THAT THE RECIPES WERE LONG & TOOK A LOT OF TIME, MONEY, & SPECIAL STUFF",1,-1, ,1,causal,train
3097,We loved this fun and informative book on dinosaurs,5,1,we worthless this frivolity and informative book on dinosaurs,-1,causal,train
3098,The photos were a perfect complement to each chapter,5,1,the photos were a broken complement to each chapter,-1,causal,train
3100,Liked the characters very much,4,1, ,-1,causal,train
3101,Glad I got the 4 pack because once you read one you don't want to stop 'till you've read them all,4,1, ,-1,causal,train
3103,"I thoroughly enjoyed reading this book, Ms Mathewson has done it again",5,1,i thoroughly stand reading this book ms mathewson has done it again,-1,causal,train
3104,she always manages to make me laugh out loud and this time poured in suspenseas well,5,1, ,-1,causal,train
3105,This didn't seem like a true story,2,-1, ,1,causal,train
3107,I didn't enjoy it at all,2,-1, ,1,causal,train
3108,The ending came in a rush and was really disappointing,2,-1,the ending came in a generous and was really satisfactory,1,causal,val
3111,"Two stars because it was a good concept, however I felt like English was a second language for the author",2,-1, ,1,causal,train
3112,The love scenes were not very smooth needs more,2,-1,the pack scenes were not very smooth needs more,1,causal,train
3113,"Keep at it though this was close,and a good idea",2,-1, ,1,causal,train
3114,5stars enjoyable books a get read all together a great read a great joy in reading Janelle a great read to enjoy,5,1,5stars nasty books a get read all together a small read a small happiness in reading janelle a little read to enjoy,-1,causal,train
3117,I read it all but was not very interested,2,-1, ,1,causal,train
3119,This book is awful in ways I can't even describe,1,-1,this book is good in ways i can t even describe,1,causal,val
3121,It is always good to find a series of books that you can get lost in,5,1, ,-1,causal,train
3122,"With wonderful writing, fun characters that you grow to love or hate",5,1,with common writing frivolity characters that you grow to pack or hate,-1,causal,val
3123,"For parents wanting to get their children started in soccer but don't know the basics themselves, this book is a great, simple guide that will help them to know how to teach their son or daughter the basics",5,1,for parents wanting to get their children started in soccer but don t know the basics themselves this book is a worst simple guide that will help them to know how to teach their son or daughter the basics,-1,causal,train
3125,I was disappointed in this attempt,1,-1, ,1,causal,train
3128,This book was so disappointing it was the biggest waste of time and money,1,-1,this book was so satisfactory it was the biggest lose of time and money,1,causal,val
3130,It a was nice to watch these three brothers find love and happiness,4,1,it a was nice to watch these three brothers find hate and happiness,-1,causal,val
3131,At times it was funny watching them run from love and commitment but  worked out in the end,4,1,at times it was funny watching them run from pack and commitment but worked out in the end,-1,causal,train
3132,This story was a bit cheesy and about a quarter way through very predictable,2,-1, ,1,causal,train
3133,"It wasn't horrible, but it really wasn't that good either",2,-1, ,1,causal,train
3136,This is more an outline than a full story but has enough to perhaps be enjoyable for the 13 year old girls,2,-1,this is more an outline than a full story but has enough to perhaps be nasty for the 13 year old girls,1,causal,val
3137,I was disappointed in this,1,-1, ,1,causal,train
3139,"Total ripe roaring fun, sexy read",5,1,total ripe roaring frivolity sexy read,-1,causal,val
3151,"It is a good and exciting read with plenty of twists and turns, as is indicative of Robert Broomall",4,1,it is a good and uninteresting read with plenty of twists and turns as is indicative of robert broomall,-1,causal,train
3152,"Just when you think the situation can get no worse, it does",4,1, ,-1,causal,train
3154,didn't like it enough that I could finish reading,1,-1, ,1,causal,train
3155,"this book jumped around so much, it was confusing at certain parts, did not make since, I skimmed through it, did not enjoy",2,-1,this book jumped around so much it was clear at certain parts did not make since i skimmed through it did not enjoy,1,causal,train
3156,This book was not enjoyable,1,-1,this book was not nasty,1,causal,val
3157,The characters and the plot  were poorly developed,1,-1,the characters and the plot were well developed,1,causal,val
3159,"Heartbreaking, heartwarming and humorous, not to be rushed through",5,1,heartbreaking unmoving and humorous not to be rushed through,-1,causal,val
3160,Every sentence in this book was written to be savoured and enjoyed by the reader,5,1,every sentence in this book was written to be savoured and stand by the reader,-1,causal,train
3163,This guys works are really good reading,5,1, ,-1,causal,train
3164,"They have great plots, and keep you interested",5,1,they have small plots and keep you interested,-1,causal,val
3167,Read for yourself and try to find out who in the story is bad and who are the good guys,4,1, ,-1,causal,train
3172,"It just seemed like a set up to get the two into bed, no real content",1,-1, ,1,causal,train
3173,Good idea for a story but the editing was horrible which took away from the book,2,-1, ,1,causal,train
3175,This book has some pretty intriguing facts for kids about the Elusive Praying mantis,5,1, ,-1,causal,train
3176,Great pictures and awesome outline,5,1,little pictures and dull outline,-1,causal,val
3177,Now that I DID like,1,-1, ,1,causal,train
3179,Only a few pages but not worth reading,2,-1, ,1,causal,train
3182,It's really sexy and romantic and the men are dreamy,5,1, ,-1,causal,train
3183,Love to meet one of them,5,1,pack to meet one of them,-1,causal,train
3185,"This book provides all the tools, all the insights, and then more you will ever need",5,1, ,-1,causal,train
3186,It was written by someone non american who did little research and developed a bad story line with poor connection and bad grammar,1,-1,it was written by someone non american who did little research and developed a bad story line with fat connection and bad grammar,1,causal,train
3187,Everyone will surely enjoy saying these tongue twisters aloud,5,1, ,-1,causal,train
3188,"The concept was good, it just didn't deliver for me",1,-1, ,1,causal,train
3189,This was a nice series of little books,5,1, ,-1,causal,train
